"NOMBRE_DEPARTAMENTO","NOMBRE_MUNICIPIO","NOMBRE_SERVICIO","ESTADO_DEL_VEHICULO","NOMBRE_DE_LA_CLASE","FECHA DE REGISTRO","CANTIDAD","MES DE PUBLICACION","AÑO DE PUBLICACIÓN"
"ANTIOQUIA","ANDES","PARTICULAR","ACTIVO","CAMPERO","1900","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PÚBLICO","ACTIVO","CAMION","1900","1","AGOSTO","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"BOLIVAR","CARTAGENA","PÚBLICO","ACTIVO","AUTOMOVIL","1900","2","AGOSTO","2026"
"BOLIVAR","SANTA ROSA","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"BOYACA","COMBITA","PARTICULAR","ACTIVO","CAMPERO","1900","1","AGOSTO","2026"
"BOYACA","SOATA","PARTICULAR","ACTIVO","MOTOCICLETA","1900","1","AGOSTO","2026"
"CALDAS","CHINCHINA","PARTICULAR","ACTIVO","CAMPERO","1900","1","AGOSTO","2026"
"CALDAS","MANIZALES","PARTICULAR","ACTIVO","CAMPERO","1900","2","AGOSTO","2026"
"CALDAS","SALAMINA","OFICIAL","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","ACTIVO","AUTOMOVIL","1900","5","AGOSTO","2026"
"CALDAS","SALAMINA","PÚBLICO","ACTIVO","AUTOMOVIL","1900","2","AGOSTO","2026"
"CALDAS","SALAMINA","OFICIAL","ACTIVO","BUSETA","1900","1","AGOSTO","2026"
"CALDAS","SALAMINA","OFICIAL","ACTIVO","CAMION","1900","1","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","ACTIVO","CAMION","1900","1","AGOSTO","2026"
"CALDAS","SALAMINA","PÚBLICO","ACTIVO","CAMION","1900","2","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","INCONSISTENTE","CAMION","1900","1","AGOSTO","2026"
"CALDAS","SALAMINA","OFICIAL","ACTIVO","CAMIONETA","1900","4","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","ACTIVO","CAMIONETA","1900","5","AGOSTO","2026"
"CALDAS","SALAMINA","PÚBLICO","ACTIVO","CAMIONETA","1900","1","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","INCONSISTENTE","CAMIONETA","1900","3","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","INCONSISTENTE","CAMPERO","1900","3","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","ACTIVO","CAMPERO","1900","5","AGOSTO","2026"
"CALDAS","SALAMINA","PÚBLICO","ACTIVO","CAMPERO","1900","2","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","ACTIVO","MOTOCICLETA","1900","4","AGOSTO","2026"
"CALDAS","SALAMINA","PÚBLICO","ACTIVO","VOLQUETA","1900","1","AGOSTO","2026"
"CALDAS","SALAMINA","PARTICULAR","ACTIVO","VOLQUETA","1900","1","AGOSTO","2026"
"CALDAS","VILLAMARIA","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"CALDAS","VILLAMARIA","PÚBLICO","ACTIVO","CAMPERO","1900","1","AGOSTO","2026"
"CAQUETA","BELEN DE LOS ANDAQUIES","PARTICULAR","ACTIVO","CAMPERO","1900","1","AGOSTO","2026"
"CAUCA","POPAYAN","OFICIAL","ACTIVO","CAMION","1900","1","AGOSTO","2026"
"CAUCA","TIMBIO","PARTICULAR","ACTIVO","VOLQUETA","1900","1","AGOSTO","2026"
"CUNDINAMARCA","MADRID","PARTICULAR","ACTIVO","CAMPERO","1900","1","AGOSTO","2026"
"CUNDINAMARCA","SESQUILE","PARTICULAR","ACTIVO","MOTOCICLETA","1900","1","AGOSTO","2026"
"CUNDINAMARCA","TENJO","PARTICULAR","ACTIVO","VOLQUETA","1900","1","AGOSTO","2026"
"META","GUAMAL","PARTICULAR","ACTIVO","CAMIONETA","1900","1","AGOSTO","2026"
"META","RESTREPO","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"META","RESTREPO","PARTICULAR","ACTIVO","MOTOCICLETA","1900","1","AGOSTO","2026"
"NORTE DE SANTANDER","CUCUTA","PARTICULAR","ACTIVO","MOTOCICLETA","1900","2","AGOSTO","2026"
"NORTE DE SANTANDER","EL ZULIA","PARTICULAR","ACTIVO","CAMIONETA","1900","1","AGOSTO","2026"
"NORTE DE SANTANDER","EL ZULIA","PÚBLICO","ACTIVO","CAMPERO","1900","1","AGOSTO","2026"
"NORTE DE SANTANDER","EL ZULIA","PARTICULAR","ACTIVO","MOTOCICLETA","1900","2","AGOSTO","2026"
"QUINDIO","CIRCASIA","PARTICULAR","ACTIVO","MOTOCICLETA","1900","1","AGOSTO","2026"
"SANTANDER","BARRANCABERMEJA","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"SANTANDER","BUCARAMANGA","PARTICULAR","ACTIVO","CAMIONETA","1900","1","AGOSTO","2026"
"SUCRE","SAMPUES","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"TOLIMA","IBAGUE","PÚBLICO","ACTIVO","AUTOMOVIL","1900","1","AGOSTO","2026"
"TOLIMA","IBAGUE","PÚBLICO","ACTIVO","MICROBUS","1900","1","AGOSTO","2026"
"VALLE DEL CAUCA","GUACARI","PÚBLICO","ACTIVO","CAMPERO","1900","1","AGOSTO","2026"
"ANTIOQUIA","ENVIGADO","PARTICULAR","ACTIVO","AUTOMOVIL","1901","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","AUTOMOVIL","1901","2","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","CAMION","1901","1","AGOSTO","2026"
"ATLANTICO","BARANOA","PARTICULAR","ACTIVO","MOTOCICLETA","1901","1","AGOSTO","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","BUSETA","1901","1","AGOSTO","2026"
"BOLIVAR","SANTA ROSA","PARTICULAR","ACTIVO","AUTOMOVIL","1901","2","AGOSTO","2026"
"BOLIVAR","TURBACO","PARTICULAR","ACTIVO","BUSETA","1901","1","AGOSTO","2026"
