"DEPARTAMENTO","MUNICIPIO","CODIGO DANE","CLASE BIEN","FECHA HECHO","CANTIDAD"
"CESAR","Valledupar (CT)","20001000","MOTOCICLETA","01/01/2010","1"
"VALLE","Tuluá","76834000","MOTOCICLETA","01/01/2010","1"
"BOYACÁ","Tunja (CT)","15001000","MOTOCICLETA","01/01/2010","1"
"CÓRDOBA","Lorica","23417000","MOTOCICLETA","01/01/2010","1"
"RISARALDA","Pereira (CT)","66001000","MOTOCICLETA","01/01/2010","1"
"TOLIMA","Ibagué (CT)","73001000","MOTOCICLETA","01/01/2010","1"
"CÓRDOBA","Sahagún","23660000","MOTOCICLETA","01/01/2010","1"
"NORTE DE SANTANDER","Ocaña","54498000","MOTOCICLETA","01/01/2010","1"
"NARIÑO","Ipiales","52356000","MOTOCICLETA","01/01/2010","1"
"ATLÁNTICO","Malambo","08433000","MOTOCICLETA","01/01/2010","1"
"VALLE","Tuluá","76834000","MOTOCICLETA","01/01/2010","1"
"CÓRDOBA","Los Córdobas","23419000","MOTOCICLETA","01/01/2010","1"
"CÓRDOBA","Montería (CT)","23001000","MOTOCICLETA","01/01/2010","1"
"CALDAS","Manizales (CT)","17001000","MOTOCICLETA","01/01/2010","1"
"RISARALDA","La Virginia","66400000","MOTOCICLETA","01/01/2010","1"
"CESAR","Valledupar (CT)","20001000","MOTOCICLETA","01/01/2010","1"
"CÓRDOBA","Montería (CT)","23001000","MOTOCICLETA","01/01/2010","1"
"NARIÑO","Pasto (CT)","52001000","AUTOMOVIL","01/01/2010","1"
"CALDAS","Manizales (CT)","17001000","CAMIONETA","01/01/2010","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","CAMIONETA","01/01/2010","1"
"ANTIOQUIA","Bello","05088000","AUTOMOVIL","01/01/2010","1"
"ANTIOQUIA","Bello","05088000","CAMION","01/01/2010","1"
"CALDAS","Manizales (CT)","17001000","MOTOCICLETA","02/01/2010","1"
"NARIÑO","Guaitarilla","52320000","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","MOTOCICLETA","02/01/2010","1"
"ARAUCA","Saravena","81736000","MOTOCICLETA","02/01/2010","1"
"ATLÁNTICO","Malambo","08433000","MOTOCICLETA","02/01/2010","1"
"NARIÑO","Pasto (CT)","52001000","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","MOTOCICLETA","02/01/2010","1"
"SANTANDER","Floridablanca","68276000","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","MOTOCICLETA","02/01/2010","1"
"BOLÍVAR","Santa Rosa del Sur","13688000","MOTOCICLETA","02/01/2010","1"
"VALLE","Guadalajara de Buga","76111000","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001005","MOTOCICLETA","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","MOTOCICLETA","02/01/2010","1"
"CALDAS","Manizales (CT)","17001000","MOTOCICLETA","02/01/2010","1"
"CALDAS","Manizales (CT)","17001000","MOTOCICLETA","02/01/2010","1"
"NARIÑO","Pasto (CT)","52001000","MOTOCICLETA","02/01/2010","1"
"BOLÍVAR","San Juan Nepomuceno","13657000","MOTOCICLETA","02/01/2010","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","MOTOCICLETA","02/01/2010","1"
"TOLIMA","Ibagué (CT)","73001000","MOTOCICLETA","02/01/2010","1"
"META","San Juan de Arama","50683000","MOTOCICLETA","02/01/2010","1"
"VALLE","Cali (CT)","76001000","AUTOMOVIL","02/01/2010","1"
"ANTIOQUIA","Sabaneta","05631000","AUTOMOVIL","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","AUTOMOVIL","02/01/2010","1"
"VALLE","Tuluá","76834000","VOLQUETA","02/01/2010","1"
"SANTANDER","Tona","68820001","CAMPERO","02/01/2010","1"
"VALLE","Cali (CT)","76001000","AUTOMOVIL","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","AUTOMOVIL","02/01/2010","1"
"CUNDINAMARCA","Soacha","25754000","CAMPERO","02/01/2010","1"
"CAUCA","Santander de Quilichao","19698007","TRACTO_CAMION","02/01/2010","1"
"ANTIOQUIA","Medellín (CT)","05001000","TAXI","02/01/2010","1"
"CUNDINAMARCA","Madrid","25430000","AUTOMOVIL","02/01/2010","1"
"CESAR","Valledupar (CT)","20001000","MOTOCICLETA","03/01/2010","1"
"VALLE","Pradera","76563000","MOTOCICLETA","03/01/2010","1"
"BOLÍVAR","El Carmen de Bolívar","13244000","MOTOCICLETA","03/01/2010","1"
"HUILA","Pitalito","41551001","MOTOCICLETA","03/01/2010","1"
"VALLE","Guadalajara de Buga","76111000","MOTOCICLETA","03/01/2010","1"
"VALLE","Jamundí","76364000","MOTOCICLETA","03/01/2010","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","MOTOCICLETA","03/01/2010","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","MOTOCICLETA","03/01/2010","1"
"CUNDINAMARCA","Soacha","25754000","MOTOCICLETA","03/01/2010","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","MOTOCICLETA","03/01/2010","1"
"NARIÑO","Ipiales","52356000","MOTOCICLETA","03/01/2010","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","MOTOCICLETA","03/01/2010","1"
"VALLE","Cali (CT)","76001000","MOTOCICLETA","03/01/2010","1"
"HUILA","La Plata","41396000","MOTOCICLETA","03/01/2010","1"
"RISARALDA","Dosquebradas","66170000","MOTOCICLETA","03/01/2010","1"
"VALLE","Cali (CT)","76001000","MOTOCICLETA","03/01/2010","1"
"NARIÑO","Pasto (CT)","52001000","MOTOCICLETA","03/01/2010","1"
"VALLE","Cali (CT)","76001000","MOTOCICLETA","03/01/2010","1"
"VALLE","Cali (CT)","76001000","MOTOCICLETA","03/01/2010","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","MOTOCICLETA","03/01/2010","1"
"NARIÑO","Ipiales","52356000","MOTOCICLETA","03/01/2010","1"
"NARIÑO","Ipiales","52356000","MOTOCICLETA","03/01/2010","1"
"NARIÑO","Pasto (CT)","52001000","AUTOMOVIL","03/01/2010","1"
"ANTIOQUIA","Yarumal","05887000","CAMION","03/01/2010","1"
"VALLE","Palmira","76520000","AUTOMOVIL","03/01/2010","1"
