CODIGO_DANE_MUNICIPIO,DEPARTAMENTO,MUNICIPIO
11001,BOGOTA D.C.,BOGOTA D.C.
44001,LA GUAJIRA,RIOHACHA
54001,NORTE DE SANTANDER,CUCUTA
50001,META,VILLAVICENCIO
19001,CAUCA,POPAYAN
05615,ANTIOQUIA,RIONEGRO
05001,ANTIOQUIA,MEDELLIN
76001,VALLE DEL CAUCA,CALI
68001,SANTANDER,BUCARAMANGA
08001,ATLANTICO,BARRANQUILLA
52685,NARINO,SAN BERNARDO
44430,LA GUAJIRA,MAICAO
54498,NORTE DE SANTANDER,OCANA
25307,CUNDINAMARCA,GIRARDOT
66682,RISARALDA,SANTA ROSA DE CABAL
76892,VALLE DEL CAUCA,YUMBO
76130,VALLE DEL CAUCA,CANDELARIA
76520,VALLE DEL CAUCA,PALMIRA
25286,CUNDINAMARCA,FUNZA
19130,CAUCA,CAJIBIO
13001,BOLIVAR,CARTAGENA DE INDIAS
66170,RISARALDA,DOSQUEBRADAS
54810,NORTE DE SANTANDER,TIBU
41551,HUILA,PITALITO
73268,TOLIMA,ESPINAL
76616,VALLE DEL CAUCA,RIOFRIO
66001,RISARALDA,PEREIRA
20550,CESAR,PELAYA
15238,BOYACA,DUITAMA
52287,NARINO,FUNES
05501,ANTIOQUIA,OLAYA
17380,CALDAS,LA DORADA
52356,NARINO,IPIALES
41206,HUILA,COLOMBIA
63130,QUINDIO,CALARCA
85001,CASANARE,YOPAL
20011,CESAR,AGUACHICA
19845,CAUCA,VILLA RICA
05088,ANTIOQUIA,BELLO
18001,CAQUETA,FLORENCIA
20001,CESAR,VALLEDUPAR
05212,ANTIOQUIA,COPACABANA
68307,SANTANDER,GIRON
15001,BOYACA,TUNJA
20032,CESAR,ASTREA
19573,CAUCA,PUERTO TEJADA
19698,CAUCA,SANTANDER DE QUILICHAO
20710,CESAR,SAN ALBERTO
47001,MAGDALENA,SANTA MARTA
81065,ARAUCA,ARAUQUITA
41026,HUILA,ALTAMIRA
68547,SANTANDER,PIEDECUESTA
54553,NORTE DE SANTANDER,PUERTO SANTANDER
27001,CHOCO,QUIBDO
08758,ATLANTICO,SOLEDAD
25214,CUNDINAMARCA,COTA
05154,ANTIOQUIA,CAUCASIA
41001,HUILA,NEIVA
19824,CAUCA,TOTORO
85125,CASANARE,HATO COROZAL
76147,VALLE DEL CAUCA,CARTAGO
05664,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS
25754,CUNDINAMARCA,SOACHA
25899,CUNDINAMARCA,ZIPAQUIRA
50150,META,CASTILLA LA NUEVA
08433,ATLANTICO,MALAMBO
52001,NARINO,PASTO
19300,CAUCA,GUACHENE
52405,NARINO,LEIVA
19622,CAUCA,ROSAS
05147,ANTIOQUIA,CAREPA
23660,CORDOBA,SAHAGUN
25875,CUNDINAMARCA,VILLETA
41483,HUILA,NATAGA
68147,SANTANDER,CAPITANEJO
52207,NARINO,CONSACA
54405,NORTE DE SANTANDER,LOS PATIOS
23001,CORDOBA,MONTERIA
68276,SANTANDER,FLORIDABLANCA
13430,BOLIVAR,MAGANGUE
73001,TOLIMA,IBAGUE
41298,HUILA,GARZON
25430,CUNDINAMARCA,MADRID
18592,CAQUETA,PUERTO RICO
86568,PUTUMAYO,PUERTO ASIS
76834,VALLE DEL CAUCA,TULUA
08078,ATLANTICO,BARANOA
76109,VALLE DEL CAUCA,BUENAVENTURA
05360,ANTIOQUIA,ITAGUI
17486,CALDAS,NEIRA
25843,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE
81001,ARAUCA,ARAUCA
86001,PUTUMAYO,MOCOA
63594,QUINDIO,QUIMBAYA
25612,CUNDINAMARCA,RICAURTE
05736,ANTIOQUIA,SEGOVIA
41396,HUILA,LA PLATA
54109,NORTE DE SANTANDER,BUCARASICA
52418,NARINO,LOS ANDES
41885,HUILA,YAGUARA
54874,NORTE DE SANTANDER,VILLA DEL ROSARIO
20787,CESAR,TAMALAMEQUE
19455,CAUCA,MIRANDA
19780,CAUCA,SUAREZ
41807,HUILA,TIMANA
25740,CUNDINAMARCA,SIBATE
15232,BOYACA,CHIQUIZA
44560,LA GUAJIRA,MANAURE
41006,HUILA,ACEVEDO
05045,ANTIOQUIA,APARTADO
70820,SUCRE,SANTIAGO DE TOLU
68679,SANTANDER,SAN GIL
76364,VALLE DEL CAUCA,JAMUNDI
25175,CUNDINAMARCA,CHIA
15759,BOYACA,SOGAMOSO
52683,NARINO,SANDONA
41797,HUILA,TESALIA
68820,SANTANDER,TONA
25407,CUNDINAMARCA,LENGUAZAQUE
76606,VALLE DEL CAUCA,RESTREPO
20383,CESAR,LA GLORIA
19807,CAUCA,TIMBIO
15176,BOYACA,CHIQUINQUIRA
41132,HUILA,CAMPOALEGRE
23189,CORDOBA,CIENAGA DE ORO
52317,NARINO,GUACHUCAL
08638,ATLANTICO,SABANALARGA
19256,CAUCA,EL TAMBO
25312,CUNDINAMARCA,GRANADA
19548,CAUCA,PIENDAMO - TUNIA
63001,QUINDIO,ARMENIA
86885,PUTUMAYO,VILLAGARZON
54385,NORTE DE SANTANDER,LA ESPERANZA
50568,META,PUERTO GAITAN
13683,BOLIVAR,SANTA ROSA
52838,NARINO,TUQUERRES
63212,QUINDIO,CORDOBA
19473,CAUCA,MORALES
54518,NORTE DE SANTANDER,PAMPLONA
52399,NARINO,LA UNION
25473,CUNDINAMARCA,MOSQUERA
41349,HUILA,HOBO
08573,ATLANTICO,PUERTO COLOMBIA
08560,ATLANTICO,PONEDERA
20570,CESAR,PUEBLO BELLO
08296,ATLANTICO,GALAPA
76111,VALLE DEL CAUCA,GUADALAJARA DE BUGA
85440,CASANARE,VILLANUEVA
54720,NORTE DE SANTANDER,SARDINATA
41306,HUILA,GIGANTE
08685,ATLANTICO,SANTO TOMAS
20228,CESAR,CURUMANI
19760,CAUCA,SOTARA PAISPAMBA
19142,CAUCA,CALOTO
44650,LA GUAJIRA,SAN JUAN DEL CESAR
13688,BOLIVAR,SANTA ROSA DEL SUR
19532,CAUCA,PATIA
19110,CAUCA,BUENOS AIRES
76233,VALLE DEL CAUCA,DAGUA
52323,NARINO,GUALMATAN
52694,NARINO,SAN PEDRO DE CARTAGO
17088,CALDAS,BELALCAZAR
73283,TOLIMA,FRESNO
05837,ANTIOQUIA,TURBO
54172,NORTE DE SANTANDER,CHINACOTA
23670,CORDOBA,SAN ANDRES DE SOTAVENTO
73168,TOLIMA,CHAPARRAL
47189,MAGDALENA,CIENAGA
41359,HUILA,ISNOS
20621,CESAR,LA PAZ
50226,META,CUMARAL
23555,CORDOBA,PLANETA RICA
19585,CAUCA,PURACE
52110,NARINO,BUESACO
91001,AMAZONAS,LETICIA
50325,META,MAPIRIPAN
73555,TOLIMA,PLANADAS
70001,SUCRE,SINCELEJO
73770,TOLIMA,SUAREZ
50711,META,VISTAHERMOSA
68081,SANTANDER,BARRANCABERMEJA
13473,BOLIVAR,MORALES
63190,QUINDIO,CIRCASIA
23466,CORDOBA,MONTELIBANO
20443,CESAR,MANAURE BALCON DEL CESAR
15806,BOYACA,TIBASOSA
76306,VALLE DEL CAUCA,GINEBRA
52227,NARINO,CUMBAL
76248,VALLE DEL CAUCA,EL CERRITO
52612,NARINO,RICAURTE
18410,CAQUETA,LA MONTANITA
41524,HUILA,PALERMO
52835,NARINO,SAN ANDRES DE TUMACO
76736,VALLE DEL CAUCA,SEVILLA
73585,TOLIMA,PURIFICACION
54313,NORTE DE SANTANDER,GRAMALOTE
13052,BOLIVAR,ARJONA
70742,SUCRE,SAN LUIS DE SINCE
25745,CUNDINAMARCA,SIMIJACA
70110,SUCRE,BUENAVISTA
44847,LA GUAJIRA,URIBIA
23162,CORDOBA,CERETE
17777,CALDAS,SUPIA
52079,NARINO,BARBACOAS
50573,META,PUERTO LOPEZ
25873,CUNDINAMARCA,VILLAPINZON
15224,BOYACA,CUCAITA
05858,ANTIOQUIA,VEGACHI
47245,MAGDALENA,EL BANCO
76890,VALLE DEL CAUCA,YOTOCO
47745,MAGDALENA,SITIONUEVO
54206,NORTE DE SANTANDER,CONVENCION
17272,CALDAS,FILADELFIA
05380,ANTIOQUIA,LA ESTRELLA
86569,PUTUMAYO,PUERTO CAICEDO
13244,BOLIVAR,EL CARMEN DE BOLIVAR
73148,TOLIMA,CARMEN DE APICALA
25269,CUNDINAMARCA,FACATATIVA
18753,CAQUETA,SAN VICENTE DEL CAGUAN
52786,NARINO,TAMINANGO
54003,NORTE DE SANTANDER,ABREGO
47053,MAGDALENA,ARACATACA
52051,NARINO,ARBOLEDA
52540,NARINO,POLICARPA
73678,TOLIMA,SAN LUIS
19137,CAUCA,CALDONO
76318,VALLE DEL CAUCA,GUACARI
44279,LA GUAJIRA,FONSECA
20238,CESAR,EL COPEY
44035,LA GUAJIRA,ALBANIA
95001,GUAVIARE,SAN JOSE DEL GUAVIARE
25817,CUNDINAMARCA,TOCANCIPA
13836,BOLIVAR,TURBACO
18860,CAQUETA,VALPARAISO
76275,VALLE DEL CAUCA,FLORIDA
20400,CESAR,LA JAGUA DE IBIRICO
23815,CORDOBA,TUCHIN
25260,CUNDINAMARCA,EL ROSAL
19392,CAUCA,LA SIERRA
50006,META,ACACIAS
68190,SANTANDER,CIMITARRA
68615,SANTANDER,RIONEGRO
05847,ANTIOQUIA,URRAO
50450,META,PUERTO CONCORDIA
23182,CORDOBA,CHINU
52560,NARINO,POTOSI
76041,VALLE DEL CAUCA,ANSERMANUEVO
52699,NARINO,SANTACRUZ
76895,VALLE DEL CAUCA,ZARZAL
76126,VALLE DEL CAUCA,CALIMA
52215,NARINO,CORDOBA
86320,PUTUMAYO,ORITO
50590,META,PUERTO RICO
25781,CUNDINAMARCA,SUTATAUSA
63548,QUINDIO,PIJAO
44090,LA GUAJIRA,DIBULLA
05129,ANTIOQUIA,CALDAS
41530,HUILA,PALESTINA
52022,NARINO,ALDANA
05172,ANTIOQUIA,CHIGORODO
86865,PUTUMAYO,VALLE DEL GUAMUEZ
13442,BOLIVAR,MARIA LA BAJA
50350,META,LA MACARENA
13458,BOLIVAR,MONTECRISTO
05697,ANTIOQUIA,EL SANTUARIO
41615,HUILA,RIVERA
85139,CASANARE,MANI
